"code_rome","libelle_rome","code_grand_domaine","libelle_grand_domaine","code_domaine_professionel","libelle_domaine_professionel"
"A1101","Conducteur / Conductrice d'engins agricoles","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A11","Engins agricoles et forestiers"
"A1102","Conducteur / Conductrice d'engins d'exploitation forestière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A11","Engins agricoles et forestiers"
"A1201","Bûcheron / Bûcheronne","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1202","Agent / Agente d'entretien des espaces naturels","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1203","Agent / Agente d'entretien des espaces verts","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1204","Garde de parc naturel","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1205","Sylviculteur / Sylvicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1206","Concepteur / Conceptrice paysagiste","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1207","Chef / Cheffe d'équipe d'entretien d'espaces naturels","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1208","Jardinier / Jardinière paysagiste","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1209","Elagueur / Elagueuse","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1210","Ouvrier forestier / Ouvrière forestière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1211","Chef / Cheffe d'équipe paysagiste","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1212","Chef / Cheffe d'équipe de travaux forestiers","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1213","Conducteur / Conductrice de travaux forestiers","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1214","Patrouilleur modeleur / Patrouilleuse modeleuse VTT","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1301","Technicien / Technicienne de culture maraîchère","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1302","Technicien / Technicienne agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1303","Ingénieur / Ingénieure d'études et de recherche agricoles","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1304","Conseiller / Conseillère technique agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1305","Technicien / Technicienne des services vétérinaires","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1306","Chargé / Chargée de mission biodiversité","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1307","Ingénieur forestier / Ingénieure forestière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1308","Technicien / Technicienne de l'insémination animale","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1309","Technicien / Technicienne d'élevage équin","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1310","Technicien / Technicienne de production animale","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1311","Technicien forestier / Technicienne forestière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1312","Directeur / Directrice environnement","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1313","Chargé / Chargée de mission environnement","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1401","Cueilleur / Cueilleuse de fruits","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1402","Aide agricole en production végétale","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1403","Aide d'élevage agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1404","Aquaculteur / Aquacultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1405","Arboriculteur / Arboricultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1406","Capitaine de pêche","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1407","Eleveur / Eleveuse de bovins","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1408","Eleveur / Eleveuse d'animaux sauvages","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1409","Aviculteur / Avicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1410","Eleveur / Eleveuse d'ovins","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1411","Eleveur / Eleveuse de porcins","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1412","Fromager-affineur / Fromagère-affineuse","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1413","Brasseur / Brasseuse de bière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1414","Horticulteur / Horticultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1415","Marin-pêcheur","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1416","Exploitant / Exploitante agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1417","Saliculteur / Salicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1418","Viticulteur / Viticultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1419","Ouvrier agricole polyvalent / Ouvrière agricole polyvalente","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1420","Chef / Cheffe de culture responsable d'unité de production agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1421","Palefrenier soigneur / Palefrenière soigneuse","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1422","Caviste de chai","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1423","Œnologue","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1424","Pisciculteur / Piscicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1425","Ramendeur / Ramendeuse","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1426","Educateur canin / Educatrice canine","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1427","Goémonier / Goémonière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1428","Algoculteur / Algocultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1429","Apiculteur / Apicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1430","Ouvrier / Ouvrière aquacole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1431","Ouvrier / Ouvrière piscicole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1432","Osiériculteur / Osiéricultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1433","Maraîcher / Maraîchère","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1434","Tabaculteur / Tabacultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1435","Eleveur / Eleveuse d'animaux de compagnie","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1436","Conducteur / Conductrice de travaux en entreprise de travaux agricoles","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1437","Champignonniste","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1438","Pêcheur / Pêcheuse à pied","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1439","Eleveur / Eleveuse d'équidés","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1440","Cultivateur urbain / Cultivatrice urbaine","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1441","Pépiniériste","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1442","Eleveur / Eleveuse de lapins","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1443","Cidrier / Cidrière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1444","Aide agricole en production fruitière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1445","Pêcheur sous-marin / Pêcheuse sous-marine","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1446","Maître / Maîtresse de chai","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1447","Herboriste","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1501","Auxiliaire vétérinaire","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1502","Maréchal-ferrant / Maréchale-ferrante","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1503","Toiletteur / Toiletteuse d'animaux","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1504","Vétérinaire","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1505","Animalier / Animalière de laboratoire","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1506","Soigneur animalier / Soigneuse animalière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1507","Ostéopathe animalier / Ostéopathe animalière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1508","Dresseur animalier / Dresseuse animalière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1509","Comportementaliste animalier / Comportementaliste animalière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1510","Préparateur / Préparatrice d'équidés","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1511","Gardien / Gardienne d'animaux","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"B1101","Artiste Plasticien / Plasticienne","B","Arts et Façonnage d'ouvrages d'art","B11","Arts plastiques"
"B1102","Mosaïste d'art","B","Arts et Façonnage d'ouvrages d'art","B11","Arts plastiques"
"B1103","Sculpteur / Sculptrice ornemaniste sur pierre","B","Arts et Façonnage d'ouvrages d'art","B11","Arts plastiques"
"B1201","Céramiste","B","Arts et Façonnage d'ouvrages d'art","B12","Céramique"
"B1301","Etalagiste","B","Arts et Façonnage d'ouvrages d'art","B13","Décoration"
"B1302","Décorateur / Décoratrice d'objets d'art","B","Arts et Façonnage d'ouvrages d'art","B13","Décoration"
"B1303","Graveur / Graveuse d'art","B","Arts et Façonnage d'ouvrages d'art","B13","Décoration"
"B1304","Artisan démonstrateur / Artisane démonstratrice","B","Arts et Façonnage d'ouvrages d'art","B13","Décoration"
"B1401","Vannier / Vannière","B","Arts et Façonnage d'ouvrages d'art","B14","Fibres et papier"
"B1402","Relieur / Relieuse d'art","B","Arts et Façonnage d'ouvrages d'art","B14","Fibres et papier"
"B1403","Restaurateur / Restauratrice de livres anciens","B","Arts et Façonnage d'ouvrages d'art","B14","Fibres et papier"
"B1404","Canneur rempailleur / Canneuse rempailleuse","B","Arts et Façonnage d'ouvrages d'art","B14","Fibres et papier"
"B1501","Facteur / Factrice d'instruments à clavier","B","Arts et Façonnage d'ouvrages d'art","B15","Instruments de musique"
"B1502","Facteur / Factrice d'instruments de musique anciens","B","Arts et Façonnage d'ouvrages d'art","B15","Instruments de musique"
"B1503","Facteur / Factrice d'instruments à vent","B","Arts et Façonnage d'ouvrages d'art","B15","Instruments de musique"
"B1504","Facteur / Factrice de percussions","B","Arts et Façonnage d'ouvrages d'art","B15","Instruments de musique"
"B1505","Luthier / Luthière","B","Arts et Façonnage d'ouvrages d'art","B15","Instruments de musique"
"B1601","Métallier / Métallière d'art","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1602","Souffleur / Souffleuse de verre","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1603","Opérateur / Opératrice en bijouterie","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1604","Horloger / Horlogère","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1605","Bijoutier / Bijoutière","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1606","Joaillier / Joaillière","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1607","Lapidaire / Diamantaire","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1608","Orfèvre planeur / Orfèvre planeuse","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1609","Responsable d'atelier en bijouterie ou joaillerie","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1610","Sertisseur / Sertisseuse en bijouterie ou joaillerie","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1611","Trieur / Trieuse de pierres et perles","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1612","Concepteur / Conceptrice numérique en bijouterie joaillerie","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1613","Orfèvre","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1614","Monteur / Monteuse en orfèvrerie","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1615","Orfèvre tourneur repousseur / Orfèvre tourneuse repousseuse","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1616","Opérateur / Opératrice en horlogerie","B","Arts et Façonnage d'ouvrages d'art","B16","Métal, verre, bijouterie et horlogerie"
"B1701","Taxidermiste","B","Arts et Façonnage d'ouvrages d'art","B17","Taxidermie"
"B1702","Technicien / Technicienne en ostéologie-moulage","B","Arts et Façonnage d'ouvrages d'art","B17","Taxidermie"
"B1801","Modiste","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"B1802","Maroquinier / Maroquinière","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"B1803","Couturier / Couturière","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"B1804","Brodeur / Brodeuse","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"B1805","Styliste","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"B1806","Tapissier / Tapissière d'ameublement","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"B1807","Assistant / Assistante styliste","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"B1808","Premier / Première d'atelier","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"B1809","Sellier / Sellière","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"B1810","Fourreur / Fourreuse","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"B1811","Sellier-garnisseur / Sellière-garnisseuse","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"B1812","Modéliste","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"B1813","Tailleur / Tailleuse","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"B1814","Directeur / Directrice de collection","B","Arts et Façonnage d'ouvrages d'art","B18","Tissu et cuirs"
"C1101","Chargé / Chargée de produit en assurances","C","Banque, Assurance, Immobilier","C11","Assurance"
"C1102","Conseiller / Conseillère en assurances","C","Banque, Assurance, Immobilier","C11","Assurance"
"C1103","Courtier / Courtière en assurance","C","Banque, Assurance, Immobilier","C11","Assurance"
"C1104","Responsable d'agence en assurances","C","Banque, Assurance, Immobilier","C11","Assurance"
"C1105","Actuaire","C","Banque, Assurance, Immobilier","C11","Assurance"
"C1106","Expert / Experte risques en assurances","C","Banque, Assurance, Immobilier","C11","Assurance"
"C1107","Chargé / Chargée d'indemnisations en assurances","C","Banque, Assurance, Immobilier","C11","Assurance"
"C1108","Responsable de département en assurances","C","Banque, Assurance, Immobilier","C11","Assurance"
"C1109","Gestionnaire en assurances","C","Banque, Assurance, Immobilier","C11","Assurance"
"C1110","Souscripteur / Souscriptrice en assurances","C","Banque, Assurance, Immobilier","C11","Assurance"
"C1111","Mandataire en assurance","C","Banque, Assurance, Immobilier","C11","Assurance"
"C1112","Agent général / Agente générale d'assurance","C","Banque, Assurance, Immobilier","C11","Assurance"
"C1113","Expert / Experte en assurances dommages automobile","C","Banque, Assurance, Immobilier","C11","Assurance"
"C1201","Chargé / Chargée d'accueil en banque","C","Banque, Assurance, Immobilier","C12","Banque"
"C1202","Analyste de crédits et risques bancaires","C","Banque, Assurance, Immobilier","C12","Banque"
"C1203","Chargé / Chargée d'affaires bancaires entreprise","C","Banque, Assurance, Immobilier","C12","Banque"
"C1204","Gestionnaire de produits bancaires","C","Banque, Assurance, Immobilier","C12","Banque"
"C1205","Conseiller / Conseillère en gestion de patrimoine","C","Banque, Assurance, Immobilier","C12","Banque"
"C1206","Conseiller / Conseillère de clientèle bancaire","C","Banque, Assurance, Immobilier","C12","Banque"
"C1207","Directeur / Directrice d'agence bancaire","C","Banque, Assurance, Immobilier","C12","Banque"
"C1208","Courtier / Courtière en banque","C","Banque, Assurance, Immobilier","C12","Banque"
"C1209","Spécialiste de la vérification client","C","Banque, Assurance, Immobilier","C12","Banque"
"C1301","Trader","C","Banque, Assurance, Immobilier","C13","Finance"
"C1302","Gestionnaire des opérations sur les marchés financiers","C","Banque, Assurance, Immobilier","C13","Finance"
"C1303","Gérant / Gérante de portefeuille financier","C","Banque, Assurance, Immobilier","C13","Finance"
"C1401","Agent administratif / Agente administrative banque ou assurance","C","Banque, Assurance, Immobilier","C14","Gestion administrative banque et assurances"
"C1501","Gestionnaire de copropriété","C","Banque, Assurance, Immobilier","C15","Immobilier"
"C1502","Chargé / Chargée de gestion locative en immobilier","C","Banque, Assurance, Immobilier","C15","Immobilier"
"C1503","Chargé / Chargée d'affaires immobilières","C","Banque, Assurance, Immobilier","C15","Immobilier"
"C1504","Conseiller / Conseillère immobilier","C","Banque, Assurance, Immobilier","C15","Immobilier"
"C1505","Responsable d'agence immobilière","C","Banque, Assurance, Immobilier","C15","Immobilier"
"C1506","Responsable de projet immobilier","C","Banque, Assurance, Immobilier","C15","Immobilier"
"D1101","Boucher / Bouchère","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1102","Boulanger / Boulangère","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1103","Charcutier-traiteur / Charcutière-traiteuse","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1104","Pâtissier / Pâtissière","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1105","Poissonnier / Poissonnière","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1106","Vendeur / Vendeuse en épicerie","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1107","Vendeur / Vendeuse grossiste en produits frais","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1108","Chef boulanger / Cheffe boulangère","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1109","Chef boucher / Cheffe bouchère","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1110","Vendeur ambulant / Vendeuse ambulante","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1111","Chef / Cheffe de laboratoire en charcuterie","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1112","Chef charcutier-traiteur / Cheffe charcutière-traiteuse","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1113","Commercial itinérant / Commerciale itinérante en entreprise de commerce de gros","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1114","Torréfacteur / Torréfactrice","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1115","Chocolatier / Chocolatière","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1116","Négociant / Négociante en bétail","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1117","Chef pâtissier / Cheffe pâtissière","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1118","Glacier / Glacière","D","Commerce, Vente et Grande distribution","D11","Commerce alimentaire et métiers de bouche"
"D1201","Brocanteur / Brocanteuse","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1202","Coiffeur / Coiffeuse","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1203","Agent / Agente de soins en hydrothérapie","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1204","Agent technico-commercial / Agente technico-commerciale en location de véhicules","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1205","Employé / Employée de pressing","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1206","Cordonnier / Cordonnière","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1207","Retoucheur / Retoucheuse en habillement","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1208","Esthéticien / Esthéticienne","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1209","Fleuriste","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1210","Vendeur / Vendeuse en animalerie","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1211","Vendeur / Vendeuse d'articles de sport et loisirs","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1212","Vendeur / Vendeuse en équipement de la maison","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1213","Vendeur / Vendeuse grossiste en équipement du foyer","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1214","Vendeur / Vendeuse en prêt-à-porter","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1215","Posticheur / Posticheuse","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1216","Coiffeur barbier / Coiffeuse barbière","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1217","Socio-coiffeur / Socio-coiffeuse","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1218","Formateur coiffeur / Formatrice coiffeuse","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1219","Vendeur / Vendeuse conseil en jardinerie","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1220","Gérant / Gérante salon de coiffure","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1221","Vendeur / Vendeuse de produits culturels et ludiques","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1222","Masseur / Masseuse bien-être","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1223","Conseiller / Conseillère de vente en pièces de rechange et accessoires de véhicules","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1224","Chargé / Chargée de location d'engins et de matériel de chantier","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1225","Responsable d'institut de beauté","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1226","Nettoyeur / Nettoyeuse en cuir et peausserie","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1227","Acheteur vendeur / Acheteuse vendeuse d'or, de métaux précieux","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1228","Employé / Employée de laverie automatique","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1229","Responsable de pressing","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1230","Responsable d'agence de location de matériel de transport","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1231","Spa Praticien / Spa Praticienne","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1232","Formateur / Formatrice en esthétisme","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1233","Galeriste","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1234","Chargé / Chargée de location de matériel de transport ou de loisirs","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1235","Plagiste","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
"D1236","Repasseur / Repasseuse","D","Commerce, Vente et Grande distribution","D12","Commerce non alimentaire et de prestations de confort"
